,Unnamed: 0,user_id,group_age,"('amount_usd', 'charity')","('amount_usd', 'culture')","('amount_usd', 'education')","('amount_usd', 'flat fee')","('amount_usd', 'food')","('amount_usd', 'fun')","('amount_usd', 'health')","('amount_usd', 'house')","('amount_usd', 'other')","('amount_usd', 'shopping')","('amount_usd', 'sports')","('amount_usd', 'supermarket')","('amount_usd', 'tech')","('amount_usd', 'transportation')","('amount_usd', 'travel')"
0,0,user_0,18-29,0.0,0.0,0.0,0.0,131.13000000000002,84.78999999999999,27.04,30.7,1.74,360.71000000000004,68.6,1327.5899999999992,0.0,180.6299999999999,0.0
1,1,user_1,30-39,0.0,0.0,0.0,1183.02,173.85999999999999,53.3,0.0,17.15,353.42999999999995,986.6999999999998,0.0,279.09000000000003,0.0,58.510000000000005,463.6
2,2,user_2,18-29,0.0,0.0,0.0,12.77,79.42,67.82000000000001,20.81,0.0,43.06,11.06,0.0,220.31000000000003,0.0,52.34,0.0
3,3,user_3,30-39,0.0,47.32,0.0,0.0,1191.6,420.13000000000005,7.28,0.0,55.64,180.07999999999998,0.0,456.62999999999994,0.0,32.34,236.33999999999997
4,4,user_4,18-29,0.0,0.0,0.0,0.0,165.5,4.7,0.0,0.0,23.83,140.18,0.0,24.54,0.0,61.49999999999999,5.96
5,5,user_5,30-39,,,,,,,,,,,,,,,
6,6,user_6,18-29,0.0,20.43,0.0,110.63000000000001,109.00999999999999,13.690000000000001,6.64,0.0,34.69,143.43,4.26,180.09,0.0,33.09,0.0
7,7,user_7,18-29,0.0,31.24,0.0,449.0299999999999,1433.34,47.81,223.63,21.02,608.9599999999999,1318.5800000000002,451.04,1695.8700000000003,0.0,273.75999999999993,4514.35
8,8,user_8,18-29,0.0,12.42,0.0,6.47,903.7799999999999,240.57,167.95000000000002,0.0,63.47,125.87,0.0,262.7099999999999,0.0,167.04999999999995,136.25
9,9,user_9,30-39,0.0,0.0,0.0,493.1,18.64,0.0,11.969999999999999,84.2,152.9,71.75999999999999,0.0,67.05,0.0,0.0,0.0
10,10,user_10,18-29,0.0,0.0,0.0,408.51,14.21,0.0,190.66,15.3,7.65,1294.41,0.0,60.14999999999999,7.59,0.0,3.4
11,11,user_11,60+,0.0,34.19,0.0,1025.94,304.19,29.0,63.99,365.16999999999996,605.02,301.33,0.0,884.3,0.0,212.28000000000003,1269.3899999999999
12,12,user_12,60+,0.0,50.47,0.0,89.38,100.42,7.66,0.0,17.669999999999998,110.56,37.39,0.0,35.5,0.0,11.49,19.07
13,13,user_13,40-49,0.0,0.0,0.0,42.56,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,user_14,50-59,,,,,,,,,,,,,,,
15,15,user_15,40-49,0.0,0.0,0.0,170.20000000000002,213.66000000000005,178.63,0.0,0.0,0.0,28.380000000000003,0.0,58.54,0.0,0.0,38.379999999999995
16,16,user_16,18-29,,,,,,,,,,,,,,,
17,17,user_17,18-29,0.0,17.02,0.0,165.14000000000001,511.60000000000014,208.60000000000005,59.16,0.0,1068.4199999999998,148.20000000000002,260.0,563.2900000000001,0.0,186.13000000000002,38.779999999999994
18,18,user_18,40-49,,,,,,,,,,,,,,,
19,19,user_19,18-29,0.0,82.05999999999999,0.0,12.25,320.61000000000007,155.85000000000002,825.12,0.0,59.190000000000005,400.81999999999994,0.0,734.7100000000003,0.0,228.9,26.0
20,20,user_20,40-49,0.0,0.0,0.0,80.46,1139.5599999999995,134.05,0.0,0.0,0.0,834.0999999999999,0.0,383.89,0.0,22.07,4.97
21,21,user_21,18-29,0.0,50.21,10.2,114.9,713.5099999999998,28.21,52.0,33.19,0.0,28.490000000000002,0.0,69.38000000000001,0.0,2.55,34.03
22,22,user_22,50-59,0.0,4.94,58.910000000000004,0.0,94.25,15.0,48.59,0.0,0.0,204.99,0.0,59.53,0.0,0.0,0.0
23,23,user_23,30-39,0.0,9.52,0.0,6014.669999999998,1631.58,79.93,43.58,303.06,37.54,670.9399999999999,173.32,488.64000000000004,0.0,36.39,397.07
24,24,user_24,18-29,0.0,49.29,0.0,260.0,370.47,0.0,91.71999999999998,41.89,17.54,293.03,8.0,437.0999999999999,0.0,2.8,0.0
25,25,user_25,60+,,,,,,,,,,,,,,,
26,26,user_26,30-39,,,,,,,,,,,,,,,
27,27,user_27,60+,,,,,,,,,,,,,,,
28,28,user_28,30-39,0.0,117.0,0.0,275.08,344.96999999999997,40.95,19.66,0.0,18.35,22.060000000000002,63.1,147.27999999999997,0.0,146.71999999999997,228.93000000000004
29,29,user_29,30-39,0.0,0.0,0.0,78.09,1.98,0.0,9.24,0.0,0.0,13.5,0.0,18.48,0.0,0.0,485.1
30,30,user_30,18-29,0.0,3.72,0.0,39.67,286.0,71.47999999999999,0.0,0.0,17.54,50.86,43.3,192.16000000000003,0.0,141.56,231.14000000000001
31,31,user_31,40-49,0.0,16.11,0.0,538.6800000000001,15.330000000000002,0.0,6.33,0.0,0.0,0.0,0.0,264.3999999999999,0.0,68.08,0.0
32,32,user_32,30-39,0.0,0.0,0.0,0.0,33.25,0.0,9.71,0.0,85.33000000000001,14.51,0.0,130.63,0.0,10.66,0.0
33,33,user_33,30-39,0.0,0.0,0.0,681.31,255.12,213.23,27.560000000000002,0.0,13.53,68.64,0.0,297.08000000000004,0.0,281.99999999999994,0.0
34,34,user_34,40-49,,,,,,,,,,,,,,,
35,35,user_35,18-29,0.0,0.08,0.0,83.17,200.42000000000004,21.77,0.0,0.0,0.0,3.01,0.0,101.49,0.0,47.27,139.98000000000002
36,36,user_36,18-29,0.0,31.090000000000003,0.0,208.31,186.58999999999997,7.45,8.68,0.0,14.9,1318.5100000000002,19.22,461.6199999999999,0.0,149.72000000000003,57.12
37,37,user_37,30-39,0.0,0.0,0.0,0.0,12.2,0.0,2.94,0.0,0.6,2.5,0.0,191.25,0.0,0.0,0.0
38,38,user_38,60+,0.0,0.0,0.0,410.71000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,user_39,30-39,0.0,86.13000000000001,0.0,68.58,226.51999999999998,50.79,40.11,24.44,40.120000000000005,911.89,234.18,225.72999999999996,0.0,0.9,1063.89
40,40,user_40,40-49,0.0,0.0,0.0,141.64,8.93,0.0,150.38,11.21,0.0,751.7500000000001,0.0,224.03999999999996,0.0,7.74,15.91
41,41,user_41,30-39,0.0,32.0,0.0,220.45,243.48,151.37,4.34,0.0,33.55,29.84,0.0,170.71,0.0,55.11000000000001,244.85
42,42,user_42,30-39,0.0,13.5,0.0,110.0,582.02,0.0,198.05,0.0,6.0,5.25,0.0,1366.5,0.0,1063.1,16.25
43,43,user_43,18-29,0.0,0.0,0.0,0.0,0.0,0.0,16.669999999999998,0.0,8.51,48.22,0.0,6.640000000000001,0.0,9.46,0.0
44,44,user_44,18-29,0.0,42.54,0.0,1189.0499999999997,225.75,744.76,10.370000000000001,0.0,13.45,232.2,0.0,275.74,0.0,19.57,46.379999999999995
45,45,user_45,30-39,,,,,,,,,,,,,,,
46,46,user_46,18-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.55,0.0,0.0,0.0
47,47,user_47,40-49,0.0,0.0,0.0,0.0,7.21,0.0,0.0,0.0,0.0,0.0,0.0,14.26,0.0,0.0,0.0
48,48,user_48,40-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0
49,49,user_49,18-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68,0.0,0.0,0.0
50,50,user_50,30-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.47,0.0,0.0,0.0,0.0,0.0,0.0
51,51,user_51,40-49,0.0,209.4,0.0,578.72,1726.1899999999998,629.13,0.0,127.45,28.94,517.5500000000001,55.91,1092.47,25.87,42.980000000000004,252.01
52,52,user_52,30-39,0.0,6.81,0.0,7.31,5.11,58.66,0.0,0.0,0.0,67.37,0.0,19.349999999999998,0.0,4.77,0.0
53,53,user_53,18-29,0.0,37.93,0.0,1173.1599999999999,434.69999999999993,330.26000000000005,2.96,0.0,4.6,240.4,0.0,372.77000000000004,0.0,20.92,116.3
54,54,user_54,30-39,,,,,,,,,,,,,,,
55,55,user_55,40-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0
56,56,user_56,40-49,,,,,,,,,,,,,,,
57,57,user_57,60+,,,,,,,,,,,,,,,
58,58,user_58,18-29,124.7,40.87,0.0,872.2499999999997,947.5600000000005,797.5900000000003,55.09,0.0,236.95999999999998,568.2400000000001,0.0,578.9800000000001,0.0,326.6200000000001,269.69
59,59,user_59,50-59,0.0,0.0,0.0,200.24,223.29999999999998,285.03,0.0,0.0,54.74,517.4300000000001,0.0,494.48999999999995,0.0,0.0,702.14
60,60,user_60,18-29,0.0,165.14,0.0,26.71,486.06999999999994,242.70999999999998,20.38,0.0,39.059999999999995,110.74,0.0,75.00999999999999,4.25,119.99000000000002,504.37000000000006
