,user_settings_crypto_unlocked,plan,attributes_notifications_marketing_push,attributes_notifications_marketing_email,num_contacts,brand,southern_europe,western_europe,northern_europe ,central_eastern_europe,age
0,0,0,1.0,1.0,3,1,1,0,0,0,28
1,1,0,0.0,1.0,75,1,0,0,0,0,35
2,0,0,1.0,1.0,71,1,0,1,0,0,24
3,0,0,1.0,1.0,219,1,0,1,0,0,39
4,0,0,1.0,1.0,0,1,0,1,0,0,28
5,0,0,1.0,1.0,0,1,0,1,0,0,30
6,1,0,1.0,1.0,77,1,1,0,0,0,22
7,0,0,0.0,1.0,10,0,0,1,0,0,28
8,0,0,1.0,1.0,42,0,0,1,0,0,28
9,1,0,1.0,1.0,3,0,0,1,0,0,35
10,1,0,1.0,1.0,19,1,0,0,0,0,20
11,0,0,1.0,1.0,0,1,0,1,0,0,71
12,0,0,1.0,1.0,6,1,0,1,0,0,60
13,0,0,1.0,1.0,0,0,0,0,0,1,40
14,0,0,1.0,1.0,2,0,0,0,0,1,58
15,0,0,1.0,1.0,22,1,0,1,0,0,42
16,0,0,1.0,1.0,5,1,0,0,0,1,25
17,0,0,1.0,1.0,20,0,0,1,0,0,26
18,0,0,1.0,1.0,0,0,0,1,0,0,41
19,0,0,1.0,1.0,11,0,0,1,0,0,22
20,0,0,1.0,1.0,0,0,0,1,0,0,42
21,0,0,1.0,1.0,177,1,1,0,0,0,24
22,0,0,1.0,1.0,0,1,0,1,0,0,55
23,0,0,1.0,1.0,5,1,0,1,0,0,35
24,0,0,1.0,1.0,6,0,0,1,0,0,23
25,0,0,1.0,1.0,1,0,0,1,0,0,61
26,0,0,1.0,1.0,0,0,0,0,0,1,39
27,0,0,1.0,1.0,0,0,0,1,0,0,63
28,0,0,1.0,1.0,5,0,1,0,0,0,30
29,0,0,1.0,1.0,3,1,0,1,0,0,35
30,0,0,1.0,1.0,0,0,0,1,0,0,23
31,0,0,1.0,1.0,14,1,0,1,0,0,41
32,0,0,1.0,1.0,14,0,0,0,0,1,37
33,0,0,1.0,1.0,15,0,0,1,0,0,34
34,0,0,1.0,1.0,0,0,0,0,0,1,44
35,1,0,1.0,1.0,0,1,0,0,0,1,28
36,0,0,1.0,1.0,6,1,0,0,0,1,29
37,1,0,1.0,1.0,1,1,0,1,0,0,38
38,0,0,1.0,1.0,24,0,0,1,0,0,74
39,0,0,0.0,0.0,50,1,0,0,0,1,31
