,user_id,new_age,group_age,"('amount_usd', 'charity')","('amount_usd', 'culture')","('amount_usd', 'education')","('amount_usd', 'flat fee')","('amount_usd', 'food')","('amount_usd', 'fun')","('amount_usd', 'health')","('amount_usd', 'house')","('amount_usd', 'other')","('amount_usd', 'shopping')","('amount_usd', 'sports')","('amount_usd', 'supermarket')","('amount_usd', 'tech')","('amount_usd', 'transportation')","('amount_usd', 'travel')"
0,user_0,28,18-29,0.0,0.0,0.0,0.0,131.13000000000002,84.78999999999999,27.04,30.7,1.74,360.71000000000004,68.6,1327.5899999999992,0.0,180.6299999999999,0.0
1,user_1,35,30-39,0.0,0.0,0.0,1183.02,173.85999999999999,53.3,0.0,17.15,353.42999999999995,986.6999999999998,0.0,279.09000000000003,0.0,58.510000000000005,463.6
2,user_2,24,18-29,0.0,0.0,0.0,12.77,79.42,67.82000000000001,20.81,0.0,43.06,11.06,0.0,220.31000000000003,0.0,52.34,0.0
3,user_3,39,30-39,0.0,47.32,0.0,0.0,1191.6,420.13000000000005,7.28,0.0,55.64,180.07999999999998,0.0,456.62999999999994,0.0,32.34,236.33999999999997
4,user_4,28,18-29,0.0,0.0,0.0,0.0,165.5,4.7,0.0,0.0,23.83,140.18,0.0,24.54,0.0,61.49999999999999,5.96
5,user_5,30,30-39,,,,,,,,,,,,,,,
6,user_6,22,18-29,0.0,20.43,0.0,110.63000000000001,109.00999999999999,13.690000000000001,6.64,0.0,34.69,143.43,4.26,180.09,0.0,33.09,0.0
7,user_7,28,18-29,0.0,31.24,0.0,449.0299999999999,1433.34,47.81,223.63,21.02,608.9599999999999,1318.5800000000002,451.04,1695.8700000000003,0.0,273.75999999999993,4514.35
8,user_8,28,18-29,0.0,12.42,0.0,6.47,903.7799999999999,240.57,167.95000000000002,0.0,63.47,125.87,0.0,262.7099999999999,0.0,167.04999999999995,136.25
9,user_9,35,30-39,0.0,0.0,0.0,493.1,18.64,0.0,11.969999999999999,84.2,152.9,71.75999999999999,0.0,67.05,0.0,0.0,0.0
10,user_10,20,18-29,0.0,0.0,0.0,408.51,14.21,0.0,190.66,15.3,7.65,1294.41,0.0,60.14999999999999,7.59,0.0,3.4
11,user_11,65,60+,0.0,34.19,0.0,1025.94,304.19,29.0,63.99,365.16999999999996,605.02,301.33,0.0,884.3,0.0,212.28000000000003,1269.3899999999999
12,user_12,60,60+,0.0,50.47,0.0,89.38,100.42,7.66,0.0,17.669999999999998,110.56,37.39,0.0,35.5,0.0,11.49,19.07
13,user_13,40,40-49,0.0,0.0,0.0,42.56,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,user_14,58,50-59,,,,,,,,,,,,,,,
15,user_15,42,40-49,0.0,0.0,0.0,170.20000000000002,213.66000000000005,178.63,0.0,0.0,0.0,28.380000000000003,0.0,58.54,0.0,0.0,38.379999999999995
16,user_16,25,18-29,,,,,,,,,,,,,,,
17,user_17,26,18-29,0.0,17.02,0.0,165.14000000000001,511.60000000000014,208.60000000000005,59.16,0.0,1068.4199999999998,148.20000000000002,260.0,563.2900000000001,0.0,186.13000000000002,38.779999999999994
18,user_18,41,40-49,,,,,,,,,,,,,,,
19,user_19,22,18-29,0.0,82.05999999999999,0.0,12.25,320.61,155.85,825.12,0.0,59.190000000000005,400.82,0.0,734.7100000000004,0.0,228.9,26.0
20,user_20,42,40-49,0.0,0.0,0.0,80.46,1139.5599999999995,134.05,0.0,0.0,0.0,834.0999999999999,0.0,383.89,0.0,22.07,4.97
21,user_21,24,18-29,0.0,50.21,10.2,114.9,713.5099999999998,28.21,52.0,33.19,0.0,28.490000000000002,0.0,69.38000000000001,0.0,2.55,34.03
22,user_22,55,50-59,0.0,4.94,58.910000000000004,0.0,94.25,15.0,48.59,0.0,0.0,204.99,0.0,59.53,0.0,0.0,0.0
23,user_23,35,30-39,0.0,9.52,0.0,6014.669999999998,1631.58,79.93,43.58,303.06,37.54,670.9399999999999,173.32,488.64000000000004,0.0,36.39,397.07
