,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd
irs_description,charity,culture,education,flat fee,food,fun,health,house,other,shopping,sports,supermarket,tech,transportation,travel
user_id,,,,,,,,,,,,,,,
user_0,0.0,0.0,0.0,0.0,131.13000000000002,84.78999999999999,27.04,30.7,1.74,360.71000000000004,68.6,1327.5899999999992,0.0,180.6299999999999,0.0
user_1,0.0,0.0,0.0,1183.02,173.85999999999999,53.3,0.0,17.15,353.42999999999995,986.6999999999998,0.0,279.09000000000003,0.0,58.510000000000005,463.6
user_10,0.0,0.0,0.0,408.51,14.21,0.0,190.66,15.3,7.65,1294.41,0.0,60.14999999999999,7.59,0.0,3.4
user_100,0.0,0.0,4.44,425.66,152.76000000000002,42.55,20.47,0.0,14.13,204.74,0.0,587.6500000000001,0.0,0.0,607.74
user_1000,0.0,0.0,0.0,158.87,107.24,43.69,0.0,0.0,0.0,0.0,0.0,41.760000000000005,0.0,22.72,0.0
user_10000,0.0,0.0,0.0,996.1399999999999,27.31,0.0,0.0,0.0,0.0,0.0,0.0,5.45,0.0,52.94,0.0
user_10001,0.0,15.18,0.0,0.0,289.54999999999995,0.0,0.0,0.0,0.0,671.2300000000001,0.0,107.59,0.0,0.0,0.0
user_10002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999999,0.0
user_10003,0.0,0.0,0.0,0.0,844.77,0.0,0.0,37.59,0.0,0.0,0.0,35.14,0.0,0.0,0.0
user_10005,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0
user_10006,0.0,0.0,0.0,3.04,16.75,2.69,0.0,0.0,0.0,4.0,0.0,105.06,0.0,15.830000000000002,42.77
user_10007,0.0,0.0,0.0,305.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0
user_10008,0.0,0.0,0.0,254.5,219.25000000000003,61.64,0.0,209.99,122.83,122.31,0.0,342.34,0.0,29.7,252.2
user_10009,0.0,0.0,0.0,0.0,6.529999999999999,0.0,0.0,0.0,0.0,123.22,0.0,20.27,9.2,0.0,8.29
