user_id,charity,culture,education,flat fee,food,fun,health,house,other,shopping,sports,supermarket,tech,transportation,travel
user_0,0,0,0,0,13,4,1,5,1,21,1,267,0,21,0
user_1,0,0,0,4,12,3,0,1,8,5,0,29,0,6,4
user_10,0,0,0,3,2,0,1,1,1,23,0,13,2,0,1
user_100,0,0,1,6,11,1,2,0,1,6,0,10,0,0,4
user_1000,0,0,0,1,8,2,0,0,0,0,0,3,0,2,0
user_10000,0,0,0,13,4,0,0,0,0,0,0,1,0,8,0
user_10001,0,1,0,0,15,0,0,0,0,17,0,4,0,0,0
user_10002,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
user_10003,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0
user_10005,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
user_10006,0,0,0,1,5,1,0,0,0,5,0,22,0,3,1
user_10007,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
user_10008,0,0,0,4,14,4,0,2,1,4,0,13,0,2,6
user_10009,0,0,0,0,2,0,0,0,0,1,0,5,1,0,1
user_1001,0,1,0,19,35,3,2,0,11,2,0,3,0,6,32
user_10010,0,0,0,5,3,2,0,1,1,15,0,2,0,13,1
user_10011,0,0,0,5,36,5,0,1,11,3,0,21,0,4,12
user_10012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
user_10014,3,10,0,10,100,3,6,0,4,7,0,7,0,1,2
user_10015,0,3,1,8,0,0,1,0,0,3,0,3,0,0,0
user_10016,0,0,0,7,3,0,0,0,0,0,0,5,0,0,2
user_10019,0,1,1,6,48,5,0,1,3,10,1,19,0,11,6
user_1002,0,0,0,7,0,0,2,2,0,12,0,29,1,2,0
user_10021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
user_10022,0,1,0,25,36,3,2,2,6,11,1,35,0,33,10
user_10023,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2
user_10024,0,1,0,2,6,1,0,0,0,0,0,7,0,2,1
user_10026,0,0,0,2,76,0,0,3,1,1,0,2,0,0,2
user_10027,0,1,0,5,6,3,2,1,4,6,0,10,0,8,2
user_10029,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
user_1003,0,10,2,1,8,3,0,1,0,0,0,32,0,5,0
user_10030,1,3,0,3,15,3,7,0,14,18,1,34,0,4,27
user_10032,0,3,0,3,7,2,1,0,1,2,0,0,0,1,7
user_10034,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
user_10035,0,0,0,1,5,0,0,0,0,1,0,1,0,0,8
user_10036,0,0,0,6,29,3,0,0,0,6,0,17,0,8,10
user_1004,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
user_10040,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0
user_10041,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1
user_10042,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
user_10043,0,0,0,0,7,2,1,0,3,5,1,2,2,5,12
user_10044,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
user_10045,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
user_10046,0,0,0,0,0,0,0,0,2,1,0,3,0,1,0
user_10047,0,1,0,0,13,0,0,0,2,0,0,18,0,3,8
user_10048,0,1,0,3,3,0,0,0,1,2,0,1,0,1,6
user_10049,0,0,0,5,10,15,3,0,1,8,0,23,0,0,2
user_10050,0,3,0,3,4,3,0,0,0,5,0,6,0,7,4
user_10051,0,1,0,11,47,62,6,0,2,9,3,82,2,9,5
user_10052,0,1,0,2,2,0,0,0,0,1,0,2,0,1,1
user_10053,0,1,0,1,16,1,0,3,0,6,1,26,0,0,0
user_10054,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0
user_10055,0,0,0,0,0,0,1,0,5,2,0,0,0,0,0
user_10056,0,6,0,15,25,0,3,1,19,12,0,32,1,13,8
user_10057,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0
user_10058,0,0,0,1,8,1,0,0,0,0,0,5,0,2,0
user_10059,0,0,0,5,5,1,0,0,1,1,0,44,0,4,0
user_10060,0,3,1,13,64,18,4,2,0,25,1,27,1,35,4
user_10062,0,2,0,64,13,4,2,0,5,7,0,26,0,3,1
user_10064,0,0,0,9,1,2,1,0,1,1,0,11,0,4,0
user_10065,0,0,0,39,5,2,5,2,4,5,0,137,1,7,0
user_10066,0,0,0,1,31,4,8,0,2,8,7,25,0,4,3
user_10067,0,1,0,5,4,0,0,0,0,1,0,9,0,15,3
user_10068,0,1,0,10,23,6,0,0,0,0,0,20,0,22,4
user_10069,0,15,0,38,194,64,30,4,17,51,2,135,0,92,27
user_10071,0,1,0,19,3,14,0,1,11,11,10,17,1,24,4
user_10072,0,11,3,180,103,56,0,2,14,18,0,91,1,12,14
user_10074,0,3,5,17,41,7,6,0,3,8,1,19,0,13,9
user_10075,0,6,0,13,121,10,9,0,5,6,1,24,1,18,29
user_10076,0,0,0,2,8,7,0,0,0,3,0,10,1,0,3
user_10077,0,0,0,0,1,1,0,1,2,0,0,12,0,1,0
user_10078,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
user_1008,0,0,0,2,8,5,0,0,2,2,0,19,0,22,0
user_10080,0,0,0,0,11,2,2,0,0,1,0,5,0,2,0
user_10081,0,0,0,12,10,0,0,1,2,2,2,30,0,0,0
user_10082,1,0,0,16,1,0,0,0,0,1,0,8,0,0,0
user_10083,1,1,0,2,27,2,3,1,1,10,0,8,1,9,7
user_10085,0,3,0,5,0,3,1,1,1,6,0,10,0,0,0
user_10086,0,1,0,0,16,9,1,1,0,0,0,5,0,14,1
user_10088,0,0,0,3,5,3,0,0,1,3,0,7,0,3,0
user_10089,0,0,0,6,2,12,1,0,1,5,0,9,0,1,0
user_1009,0,2,0,4,14,1,3,1,5,18,0,22,0,1,0
user_10090,0,1,0,3,37,2,2,1,2,3,0,22,0,15,11
user_10091,0,0,0,4,1,0,0,0,0,0,0,4,0,0,0
user_10092,1,6,1,2,23,8,0,0,2,17,0,61,0,23,5
user_10093,0,2,0,2,1,9,0,1,3,9,1,4,0,6,1
user_10094,0,1,2,3,77,6,0,1,7,20,0,17,0,5,9
user_10095,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0
user_10096,0,0,0,0,1,0,0,0,0,2,0,1,0,3,0
user_10097,0,0,0,1,2,0,0,0,1,1,0,3,0,5,0
user_10098,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0
user_10099,0,3,3,8,8,3,1,4,5,9,0,32,0,3,0
user_101,0,0,0,3,33,1,2,0,5,1,0,9,0,19,28
user_1010,0,0,0,2,8,7,1,0,2,0,0,5,0,5,1
user_10100,0,0,0,3,2,0,0,0,0,1,0,3,0,0,4
user_10101,0,1,0,0,16,4,0,0,6,3,0,13,0,1,2
user_10102,0,0,0,9,20,10,4,0,1,2,0,26,0,15,1
user_10103,0,3,0,23,12,4,0,0,0,4,0,13,0,8,3
user_10104,0,0,0,0,1,0,0,0,2,3,0,10,0,0,0
user_10105,0,0,1,0,6,4,1,0,0,5,0,3,0,3,0
user_10106,0,1,1,7,36,5,4,1,6,4,1,15,1,12,20
user_10108,0,1,0,8,24,7,1,0,3,11,0,6,1,16,6
user_10109,0,0,0,1,15,2,0,0,0,0,0,8,0,0,2
user_1011,0,2,0,1,11,2,1,2,1,27,0,4,1,9,1
user_10110,0,0,0,0,8,0,1,10,0,0,0,18,0,0,0
user_10111,0,0,0,2,0,25,0,0,0,2,0,4,0,2,0
user_10112,0,0,0,2,2,0,3,0,1,2,0,3,0,10,0
user_10113,0,1,8,10,48,2,9,0,18,32,0,82,0,4,2
user_10114,0,8,2,67,62,16,4,6,12,20,0,105,6,44,7
user_10115,0,1,0,0,10,0,1,4,0,3,0,127,0,2,0
user_10116,0,1,0,5,4,0,1,1,1,4,0,5,1,3,3
user_10117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
user_10118,0,7,6,5,46,18,12,1,12,27,0,106,3,41,4
user_1012,0,18,0,6,0,14,0,0,1,1,0,24,8,0,0
user_10120,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
user_10123,0,0,0,1,1,0,2,1,2,4,0,0,0,2,3
user_10125,0,0,0,7,1,16,4,1,0,2,0,15,0,0,0
user_10126,0,6,0,1,3,3,0,0,1,1,0,12,0,0,0
user_10127,0,6,0,3,33,2,5,2,3,10,0,10,1,6,10
user_10129,0,1,2,6,6,1,0,0,0,9,0,30,0,0,1
user_1013,0,3,1,25,55,12,6,0,3,25,0,62,0,146,29
user_10130,0,1,0,2,29,1,1,0,0,9,0,10,0,16,2
user_10131,0,0,0,10,5,0,0,1,0,0,0,6,0,1,4
user_10132,0,1,0,0,3,0,0,0,0,7,0,7,1,0,4
user_10133,0,4,1,12,88,5,1,16,11,9,0,21,1,8,8
user_10134,0,20,1,13,36,4,3,1,3,10,1,18,0,1,0
user_10135,0,0,0,5,29,6,1,0,3,15,1,9,0,6,24
user_10136,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
user_10137,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
user_10138,0,0,0,6,21,4,0,1,0,3,0,4,0,0,1
user_1014,0,0,0,1,6,1,1,1,0,3,0,11,0,0,0
user_10143,0,0,1,4,5,2,1,0,0,1,0,4,0,3,2
user_10144,0,23,3,10,67,2,6,0,5,38,4,33,0,29,2
user_10145,1,2,0,5,27,3,1,0,10,8,1,17,0,15,22
user_10146,0,0,0,5,32,9,2,0,2,17,0,40,3,8,17
user_10147,0,6,1,36,29,7,7,0,7,5,1,100,8,73,3
user_10148,0,1,0,1,28,2,3,0,0,1,0,10,2,1,0
user_1015,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
user_10150,0,3,0,19,26,5,7,0,5,5,0,70,3,3,4
user_10152,1,2,1,40,46,18,16,0,9,24,0,47,0,40,89
user_10153,0,0,0,1,1,5,0,0,0,1,0,1,0,0,0
user_10154,0,1,0,3,40,0,1,0,11,1,0,30,0,4,0
user_10155,0,0,0,1,4,0,0,0,0,0,0,3,0,3,0
user_10156,0,2,0,0,41,2,6,4,1,3,2,36,1,4,0
user_10157,0,1,1,0,9,3,0,0,31,1,0,82,0,1,3
user_10160,0,0,0,10,8,0,0,0,0,0,0,0,0,0,1
user_10161,0,1,0,6,32,3,5,0,6,22,0,33,0,3,5
user_10162,0,0,0,1,4,0,0,0,1,0,1,2,0,0,4
user_10163,0,9,0,2,13,4,6,1,3,11,1,103,2,1,0
user_10166,0,1,0,0,7,2,0,0,1,7,0,7,0,3,4
user_10167,0,1,12,0,10,4,25,3,3,20,0,108,0,12,1
user_10170,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
user_10172,0,0,0,18,30,4,1,0,2,0,0,10,2,1,1
user_10173,0,1,74,7,91,27,1,0,2,0,0,98,0,24,6
user_10174,0,0,0,6,10,5,1,0,0,4,0,6,0,1,3
user_10175,0,8,2,22,64,5,9,4,12,3,2,19,1,11,17
user_10176,0,1,0,33,8,1,0,1,5,6,0,13,0,13,0
user_10177,0,1,0,4,16,1,1,0,5,1,0,13,1,33,16
user_10178,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0
user_10179,0,3,0,2,10,1,0,0,1,8,0,19,1,15,1
user_10180,0,1,0,5,20,0,3,2,6,3,0,11,0,8,3
user_10182,0,0,0,1,2,2,1,0,2,0,0,24,0,1,0
user_10183,0,1,0,5,25,10,1,0,4,2,0,38,0,13,2
user_10185,0,0,0,0,13,5,0,0,0,1,0,0,0,0,1
user_10186,1,0,0,1,4,0,3,2,0,4,2,5,0,3,10
user_10187,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
user_10188,0,1,0,0,5,2,2,0,2,5,0,1,1,0,4
user_10189,0,1,0,5,5,0,1,0,1,3,0,0,0,0,0
user_10191,0,0,0,5,6,0,4,0,1,5,0,1,0,1,1
user_10192,0,0,0,0,0,1,0,0,1,4,0,5,0,0,2
user_10193,0,0,0,0,0,9,0,0,0,0,2,5,0,0,0
user_10194,0,0,0,1,5,2,0,0,0,2,0,5,1,0,4
user_10195,1,7,2,11,150,13,12,8,10,1,16,24,1,71,1
user_10196,0,5,1,41,404,33,14,13,9,29,1,119,0,223,11
user_10198,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
user_10199,0,0,0,0,5,0,0,0,0,2,0,1,0,1,0
user_102,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0
user_1020,0,0,0,0,19,3,0,0,0,22,0,8,0,0,0
user_10200,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
user_10201,0,0,1,7,158,9,1,3,1,0,1,34,0,6,2
user_10204,0,0,0,1,2,1,0,0,0,1,0,1,0,0,0
user_10207,0,0,0,29,2,1,0,0,1,4,0,5,0,5,1
user_10208,0,0,0,6,2,0,1,0,0,1,0,0,0,0,3
user_10209,0,1,0,13,77,15,4,1,3,22,0,35,0,23,14
user_1021,0,7,0,9,30,12,2,1,3,12,0,18,1,11,9
user_10210,0,0,0,0,4,0,0,0,3,3,0,5,0,5,5
user_10211,0,4,0,2,135,32,4,0,8,11,0,52,0,76,12
user_10212,0,2,0,2,11,1,0,0,3,1,0,7,0,5,2
user_10213,0,2,0,17,77,5,1,1,1,5,3,43,0,62,3
user_10214,0,0,0,0,8,0,5,0,1,4,1,7,0,6,6
user_10215,0,0,0,2,1,1,0,1,0,1,0,3,1,0,1
user_10216,0,0,0,1,1,3,0,0,1,0,0,3,0,1,0
user_10217,1,1,1,7,28,2,3,3,10,10,0,59,0,11,4
user_10218,0,0,0,1,5,0,0,0,0,1,0,4,0,3,0
user_10219,0,4,14,22,34,5,2,1,5,3,3,22,0,29,3
user_1022,0,0,1,9,7,1,1,0,1,3,0,36,0,1,3
user_10224,0,12,0,10,18,4,4,1,3,7,0,7,1,28,3
user_10226,0,2,0,5,58,4,9,1,4,4,0,75,0,76,1
user_10227,0,0,0,1,6,2,0,0,1,0,0,10,0,4,8
user_10228,0,1,0,9,26,0,3,6,4,10,1,45,2,8,7
user_10229,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1
user_1023,0,1,1,15,60,16,2,1,4,4,0,22,0,64,3
user_10231,0,16,0,51,66,20,6,2,8,16,0,48,1,46,29
user_10232,0,1,1,3,33,3,1,0,0,11,0,17,0,9,0
user_10235,0,0,0,16,0,0,0,0,0,1,0,1,0,3,0
user_10236,0,0,0,1,1,3,0,2,10,3,0,16,0,0,0
user_10237,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
user_10238,0,5,1,1,10,8,3,1,4,11,0,19,0,15,3
user_10239,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
