user_id,compl,Len Compl,sum rev,Len rev,sum decl,Len decl,sum canc,Len canc,sum fail,Len fail,new,Sum  of True Trans,Plh8os True Trans
user_0,6925.080000000002,520.0,32.63,8.0,130.45000000000002,6.0,0.0,0.0,31.260000000000005,9.0,6892.450000000002,6730.740000000002,497.0
user_1,12955.540000000005,133.0,1.88,6.0,1203.81,6.0,0.0,0.0,0.85,1.0,12953.660000000005,11749.000000000005,120.0
user_10,5438.920000000002,123.0,57.85,3.0,726.16,16.0,0.0,0.0,0.0,0.0,5381.0700000000015,4654.910000000002,104.0
user_100,4230.1,55.0,514.0300000000001,3.0,323.37,4.0,0.0,0.0,1276.6,4.0,3716.07,2116.1000000000004,44.0
user_1000,843.1199999999999,43.0,0.0,0.0,58.5,4.0,0.0,0.0,0.0,0.0,843.1199999999999,784.6199999999999,39.0
user_10000,4051.7200000000007,78.0,99.82000000000001,3.0,316.55,6.0,0.0,0.0,180.45000000000002,6.0,3951.9000000000005,3454.9000000000005,63.0
user_10001,3346.3200000000006,51.0,1.0,2.0,24.98,3.0,0.0,0.0,0.0,0.0,3345.3200000000006,3320.3400000000006,46.0
user_10002,25.099999999999998,5.0,1.8,3.0,3.0,2.0,0.0,0.0,0.0,0.0,23.299999999999997,20.299999999999997,0.0
user_10003,3263.6099999999997,21.0,0.75,1.0,2292.01,8.0,0.0,0.0,0.0,0.0,3262.8599999999997,970.8499999999995,12.0
user_10004,32.339999999999996,2.0,0.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.489999999999995,31.489999999999995,1.0
user_10005,17.35,8.0,0.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,16.5,7.0
user_10006,1211.5299999999997,63.0,51.48,5.0,105.56,15.0,0.0,0.0,89.52,1.0,1160.0499999999997,964.9699999999998,42.0
user_10007,936.86,13.0,0.2,1.0,987.51,10.0,0.0,0.0,0.0,0.0,936.66,-50.85000000000002,2.0
user_10008,3203.0800000000013,81.0,203.56,9.0,511.44000000000005,7.0,0.0,0.0,84.74000000000001,2.0,2999.5200000000013,2403.340000000001,63.0
user_10009,358.1799999999999,21.0,0.18,1.0,129.32,3.0,0.0,0.0,26.849999999999998,3.0,357.9999999999999,201.8299999999999,14.0
user_1001,9395.020000000004,148.0,651.1800000000001,7.0,174.54000000000002,4.0,0.0,0.0,604.2399999999999,7.0,8743.840000000004,7965.060000000003,130.0
user_10010,3330.4900000000002,59.0,2.49,5.0,172.49,3.0,0.0,0.0,0.0,0.0,3328.0000000000005,3155.51,51.0
user_10011,5207.750000000002,119.0,1043.8699999999997,7.0,319.22,10.0,0.0,0.0,0.0,0.0,4163.880000000002,3844.6600000000017,102.0
user_10012,56.45,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.45,56.45,3.0
user_10013,181.88,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.88,181.88,3.0
user_10014,3190.2299999999977,189.0,38.730000000000004,16.0,95.66,8.0,0.0,0.0,31.12,2.0,3151.4999999999977,3024.719999999998,163.0
user_10015,969.48,31.0,0.85,1.0,310.78000000000003,5.0,0.0,0.0,0.0,0.0,968.63,657.8499999999999,25.0
user_10016,499.5999999999999,36.0,0.85,3.0,209.94,7.0,0.0,0.0,0.0,0.0,498.7499999999999,288.8099999999999,26.0
user_10017,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,2.0
user_10019,46360.79999999999,260.0,1279.9099999999999,4.0,401.65000000000003,5.0,0.0,0.0,12383.26,6.0,45080.889999999985,32295.97999999998,245.0
user_1002,798.8300000000002,82.0,2.0,2.0,49.51,5.0,0.0,0.0,110.0,7.0,796.8300000000002,637.3200000000002,68.0
user_10020,19.88,2.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.68,19.68,1.0
user_10021,57.28,4.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,57.1,3.0
user_10022,5757.730000000001,219.0,218.09,8.0,121.76999999999998,6.0,8.21,1.0,0.0,0.0,5539.640000000001,5409.660000000001,204.0
user_10023,8175.700000000001,54.0,7049.0,32.0,4934.889999999999,35.0,0.0,0.0,1000.0,2.0,1126.7000000000007,-4808.189999999999,-15.0
user_10024,2744.1299999999997,30.0,22.0,3.0,65.9,6.0,0.0,0.0,0.0,0.0,2722.1299999999997,2656.2299999999996,21.0
user_10026,1446.6000000000006,102.0,1.1600000000000001,6.0,510.08000000000004,5.0,0.0,0.0,141.35999999999999,6.0,1445.4400000000005,794.0000000000005,85.0
user_10027,1605.7299999999998,73.0,29.17,5.0,145.32999999999998,7.0,0.0,0.0,42.55,1.0,1576.5599999999997,1388.6799999999998,60.0
user_10028,4.72,2.0,0.2,4.0,0.74,1.0,0.0,0.0,0.0,0.0,4.52,3.7799999999999994,-3.0
user_10029,231.75,6.0,86.80999999999999,3.0,13.87,4.0,0.0,0.0,1.7,2.0,144.94,129.37,-3.0
user_1003,726.0,74.0,12.0,6.0,10.0,2.0,0.0,0.0,45.0,1.0,714.0,659.0,65.0
user_10030,26482.499999999996,425.0,421.34000000000015,8.0,5917.239999999999,22.0,0.0,0.0,42.55,1.0,26061.159999999996,20101.37,394.0
user_10031,9.79,2.0,0.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.94,8.94,1.0
user_10032,548.86,40.0,2.0,2.0,46.91,3.0,0.0,0.0,49.0,4.0,546.86,450.95000000000005,31.0
user_10033,93947.39999999998,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93947.39999999998,93947.39999999998,25.0
user_10034,518.0,9.0,3.4,4.0,112.37,3.0,0.0,0.0,0.0,0.0,514.6,402.23,2.0
user_10035,2860.23,26.0,38.07,2.0,65.08,1.0,0.0,0.0,0.75,1.0,2822.16,2756.33,22.0
user_10036,6821.999999999999,142.0,0.73,4.0,66.84,2.0,0.0,0.0,0.0,0.0,6821.2699999999995,6754.429999999999,136.0
user_10037,14.99,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.99,13.99,1.0
user_10038,15.88,2.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,15.8,1.0
user_1004,7.82,4.0,0.2,1.0,5.550000000000001,3.0,0.0,0.0,0.0,0.0,7.62,2.0699999999999994,0.0
user_10040,631.33,23.0,1.0,1.0,255.51,3.0,0.0,0.0,0.0,0.0,630.33,374.82000000000005,19.0
user_10041,1163.8899999999999,19.0,1.7,2.0,109.78999999999999,2.0,0.0,0.0,85.11,1.0,1162.1899999999998,967.2899999999998,14.0
user_10042,254.21999999999994,9.0,2.55,3.0,18.51,1.0,0.0,0.0,88.51,5.0,251.66999999999993,144.64999999999992,0.0
user_10043,23994.44,161.0,836.65,8.0,2233.919999999999,12.0,0.0,0.0,900.0,4.0,23157.789999999997,20023.87,137.0
user_10044,147.96,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.96,147.96,8.0
user_10045,296.56,11.0,0.0,1.0,25.65,1.0,8.95,1.0,206.98999999999998,5.0,296.56,54.97000000000004,3.0
user_10046,92.49,11.0,0.04,2.0,20.0,3.0,0.0,0.0,0.0,0.0,92.44999999999999,72.44999999999999,6.0
user_10047,4252.35,56.0,383.37,7.0,856.8799999999999,13.0,0.0,0.0,1.7,2.0,3868.9800000000005,3010.4000000000005,34.0
user_10048,3576.8999999999996,26.0,5.33,2.0,5.05,1.0,0.0,0.0,0.0,0.0,3571.5699999999997,3566.5199999999995,23.0
user_10049,3040.060000000001,185.0,13.219999999999999,3.0,287.3,40.0,0.0,0.0,178.70999999999998,6.0,3026.840000000001,2560.830000000001,136.0
user_1005,646.7800000000001,13.0,0.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,645.9300000000001,645.9300000000001,12.0
user_10050,3117.0099999999998,46.0,8.499999999999998,11.0,813.3899999999999,4.0,0.0,0.0,187.23000000000002,3.0,3108.5099999999998,2107.89,28.0
user_10051,7908.6000000000295,621.0,45.949999999999996,9.0,936424.5,14.0,0.0,0.0,1093.6200000000001,9.0,7862.65000000003,-929655.47,589.0
user_10052,1732.8100000000002,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732.8100000000002,1732.8100000000002,28.0
user_10053,4629.459999999998,70.0,21.33000000000001,8.0,607.8300000000002,10.0,0.0,0.0,0.0,0.0,4608.129999999998,4000.2999999999984,52.0
user_10054,2140.99,28.0,2.7,3.0,31.259999999999998,5.0,0.0,0.0,0.0,0.0,2138.29,2107.0299999999997,20.0
user_10055,778.0,29.0,128.5,4.0,136.95,4.0,0.0,0.0,0.0,0.0,649.5,512.55,21.0
user_10056,6608.799999999999,202.0,5.109999999999999,3.0,429.56,8.0,0.0,0.0,170.21,1.0,6603.69,6003.919999999999,190.0
user_10057,698.94,8.0,0.85,1.0,388.28999999999996,4.0,189.76,1.0,0.0,0.0,698.09,120.04000000000008,2.0
user_10058,1078.2100000000003,34.0,10.03,7.0,193.7,6.0,0.0,0.0,0.0,0.0,1068.1800000000003,874.4800000000002,21.0
user_10059,1569.3799999999999,69.0,86.7,2.0,329.5,10.0,0.0,0.0,0.0,0.0,1482.6799999999998,1153.1799999999998,57.0
user_1006,1432.6000000000001,6.0,9.129999999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1423.47,1423.47,4.0
user_10060,16754.36000000004,507.0,192.33999999999997,4.0,508.4,19.0,0.0,0.0,85.11,1.0,16562.02000000004,15968.51000000004,483.0
user_10061,19.990000000000002,3.0,1.0,3.0,2.9699999999999998,6.0,0.0,0.0,11.0,2.0,18.990000000000002,5.020000000000003,-8.0
user_10062,4226.500000000002,167.0,43.74,6.0,773.39,17.0,0.0,0.0,1157.46,6.0,4182.760000000002,2251.910000000002,138.0
user_10063,62.97,4.0,0.85,1.0,0.0,0.0,8.51,1.0,0.0,0.0,62.12,53.61,2.0
user_10064,6073.190000000002,111.0,1.08,5.0,285.77000000000004,15.0,0.0,0.0,53.7,4.0,6072.110000000002,5732.640000000002,87.0
user_10065,6104.259999999996,341.0,2.21,3.0,6.79,3.0,0.0,0.0,397.66999999999996,2.0,6102.049999999996,5697.589999999996,333.0
user_10066,9702.149999999994,137.0,51.900000000000006,4.0,104.74,4.0,0.0,0.0,0.0,0.0,9650.249999999995,9545.509999999995,129.0
user_10067,3847.88,52.0,1242.91,12.0,194.90000000000003,8.0,0.0,0.0,0.0,0.0,2604.9700000000003,2410.07,32.0
user_10068,5029.510000000001,137.0,90.49,5.0,122.81,8.0,0.0,0.0,0.0,0.0,4939.020000000001,4816.210000000001,124.0
user_10069,27922.759999999995,831.0,174.48000000000002,30.0,6129.610000000002,78.0,0.0,0.0,11159.150000000001,6.0,27748.279999999995,10459.51999999999,717.0
user_10070,8.95,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77,8.77,0.0
user_10071,26726.80999999999,285.0,2690.1400000000003,30.0,3910.4699999999993,27.0,1.99,1.0,3617.42,8.0,24036.66999999999,16506.78999999999,219.0
user_10072,27544.080000000005,577.0,11.99,8.0,555.0700000000003,58.0,0.0,0.0,0.0,0.0,27532.090000000004,26977.020000000004,511.0
user_10074,12282.060000000012,266.0,1239.1800000000003,19.0,2866.519999999999,40.0,0.0,0.0,1093.6299999999999,9.0,11042.880000000012,7082.730000000013,198.0
user_10075,15023.119999999995,550.0,39.55000000000001,14.0,559.25,23.0,0.0,0.0,150.0,2.0,14983.569999999996,14274.319999999996,511.0
user_10076,1361.66,53.0,0.0,0.0,40.58,5.0,0.0,0.0,0.0,0.0,1361.66,1321.0800000000002,48.0
user_10077,501.9500000000001,22.0,8.82,3.0,191.43999999999997,3.0,0.0,0.0,0.0,0.0,493.1300000000001,301.69000000000017,16.0
user_10078,4104.469999999999,20.0,1.76,4.0,69.35,3.0,0.0,0.0,0.0,0.0,4102.709999999999,4033.359999999999,13.0
user_1008,1832.7799999999995,94.0,71.49,3.0,66.38,6.0,0.0,0.0,83.0,1.0,1761.2899999999995,1611.9099999999994,84.0
user_10080,1959.5500000000004,39.0,119.41,3.0,2203.8,3.0,0.0,0.0,100.0,1.0,1840.1400000000003,-463.65999999999985,32.0
user_10081,2061.9399999999996,88.0,2.35,3.0,375.94,17.0,0.0,0.0,85.11,1.0,2059.5899999999997,1598.5399999999997,67.0
user_10082,4928.560000000004,131.0,0.85,1.0,36.160000000000004,7.0,102.13,1.0,0.0,0.0,4927.710000000004,4789.420000000004,122.0
user_10083,6113.800000000001,92.0,0.85,2.0,19.87,1.0,0.0,0.0,8.51,1.0,6112.950000000001,6084.570000000001,88.0
user_10084,25.54,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.54,25.54,2.0
user_10085,2798.09,74.0,9.37,5.0,8.51,1.0,0.0,0.0,0.0,0.0,2788.7200000000003,2780.21,68.0
user_10086,516.0799999999999,58.0,7.33,8.0,7.92,2.0,0.0,0.0,29.82,1.0,508.74999999999994,471.00999999999993,47.0
user_10087,306.46000000000004,10.0,0.85,2.0,0.0,2.0,0.0,0.0,0.0,0.0,305.61,305.61,6.0
user_10088,899.6700000000002,44.0,0.0,0.0,67.17,5.0,0.0,0.0,0.0,0.0,899.6700000000002,832.5000000000002,39.0
user_10089,2672.849999999999,74.0,1.7,3.0,336.48,6.0,0.0,0.0,0.0,0.0,2671.149999999999,2334.669999999999,65.0
user_1009,3633.5799999999995,97.0,34.86,2.0,522.0999999999999,9.0,0.0,0.0,0.0,0.0,3598.7199999999993,3076.6199999999994,86.0
user_10090,4212.010000000001,132.0,32.22,9.0,739.7399999999999,11.0,0.0,0.0,0.0,0.0,4179.790000000001,3440.050000000001,112.0
user_10091,375.8500000000001,25.0,0.36,2.0,2.15,3.0,0.0,0.0,0.0,0.0,375.49000000000007,373.3400000000001,20.0
user_10092,8848.880000000001,172.0,957.69,7.0,118.43,7.0,468.09,1.0,52.0,3.0,7891.1900000000005,7252.67,154.0
user_10093,4141.42,61.0,0.28,8.0,1276.0800000000002,25.0,0.0,0.0,0.0,0.0,4141.14,2865.0600000000004,28.0
user_10094,10342.58,321.0,413.78,14.0,121.96,7.0,0.0,0.0,0.0,0.0,9928.8,9806.84,300.0
user_10095,85.93999999999997,20.0,1.0,1.0,3.6,1.0,0.0,0.0,0.0,0.0,84.93999999999997,81.33999999999997,18.0
user_10096,409.03000000000003,12.0,0.85,3.0,48.26,1.0,0.0,0.0,0.0,0.0,408.18,359.92,8.0
user_10097,595.79,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,594.79,594.79,20.0
user_10098,2574.49,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2573.49,2573.49,20.0
user_10099,2129.320000000001,135.0,0.75,3.0,0.0,0.0,0.0,0.0,2.55,3.0,2128.570000000001,2126.020000000001,129.0
user_101,14884.510000000004,206.0,87.21,5.0,2569.5099999999998,25.0,0.0,0.0,0.0,0.0,14797.300000000005,12227.790000000005,176.0
user_1010,1030.2700000000002,35.0,0.75,1.0,21.29,2.0,0.0,0.0,0.0,0.0,1029.5200000000002,1008.2300000000002,32.0
user_10100,1672.8199999999995,33.0,17.87,2.0,610.03,4.0,0.0,0.0,221.27999999999997,4.0,1654.9499999999996,823.6399999999996,23.0
user_10101,1825.7500000000002,80.0,0.2,1.0,208.88,13.0,0.0,0.0,39.77,1.0,1825.5500000000002,1576.9,65.0
user_10102,2929.8600000000024,224.0,19.32,7.0,151.81999999999996,19.0,0.0,0.0,8.51,1.0,2910.5400000000022,2750.210000000002,197.0
user_10103,9131.949999999999,97.0,3.04,5.0,2096.03,28.0,0.0,0.0,288.24,7.0,9128.909999999998,6744.639999999998,57.0
user_10104,8711.94,51.0,4.0,4.0,31.82,2.0,0.0,0.0,751.0,3.0,8707.94,7925.120000000001,42.0
user_10105,1263.5600000000004,39.0,228.07999999999998,4.0,137.81000000000003,5.0,0.0,0.0,17.02,2.0,1035.4800000000005,880.6500000000004,28.0
user_10106,24619.82,243.0,1822.5099999999998,14.0,141.16,19.0,0.0,0.0,7829.8,4.0,22797.31,14826.350000000002,206.0
user_10107,23.259999999999998,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.259999999999998,23.259999999999998,10.0
user_10108,5728.060000000001,113.0,7.0,7.0,705.35,5.0,0.0,0.0,0.0,0.0,5721.060000000001,5015.710000000001,101.0
user_10109,682.7300000000004,57.0,70.19000000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,612.5400000000003,612.5400000000003,51.0
user_1011,36045.48999999997,261.0,45.10000000000001,8.0,416.8999999999999,8.0,0.0,0.0,7537.8600000000015,20.0,36000.38999999997,28045.62999999997,225.0
user_10110,706.2000000000002,44.0,0.18,1.0,29.94,2.0,0.0,0.0,0.0,0.0,706.0200000000002,676.0800000000002,41.0
user_10111,2852.43,130.0,1.0,1.0,60.0,1.0,0.0,0.0,22.0,3.0,2851.43,2769.43,125.0
user_10112,1131.1999999999998,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.1999999999998,1131.1999999999998,33.0
user_10113,8696.110000000008,272.0,140.86999999999998,11.0,26.5,2.0,0.0,0.0,3942.11,54.0,8555.240000000007,4586.6300000000065,205.0
user_10114,19428.960000000014,979.0,121.36,40.0,396.03999999999996,35.0,56.25,6.0,2853.2500000000005,16.0,19307.600000000013,16002.060000000012,882.0
user_10115,3006.590000000002,171.0,515.45,7.0,34.0,1.0,0.0,0.0,34.04,1.0,2491.140000000002,2423.100000000002,162.0
user_10116,1560.8000000000006,50.0,51.67,5.0,136.51000000000002,9.0,0.0,0.0,100.0,1.0,1509.1300000000006,1272.6200000000006,35.0
user_10117,67.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,-1.0
user_10118,8546.939999999993,374.0,101.60000000000001,31.0,184.85999999999999,6.0,1.0,1.0,461.0,6.0,8445.339999999993,7798.479999999992,330.0
user_10119,19.84,3.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81,19.81,2.0
user_1012,10899.95,189.0,12.069999999999999,21.0,1626.05,21.0,35.8,2.0,0.0,0.0,10887.880000000001,9226.030000000002,145.0
user_10120,182.23,12.0,1.7,2.0,9.36,1.0,0.0,0.0,0.85,1.0,180.53,170.32000000000002,8.0
user_10121,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,8.0,-1.0
user_10122,203.5,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,202.5,202.5,3.0
user_10123,1887.3199999999997,19.0,1.0,1.0,4.95,1.0,0.0,0.0,0.0,0.0,1886.3199999999997,1881.3699999999997,17.0
user_10124,14.399999999999999,5.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,14.2,4.0
user_10125,2081.3299999999995,84.0,13.62,2.0,27.77,1.0,0.0,0.0,72.34,1.0,2067.7099999999996,1967.5999999999997,80.0
user_10126,1185.9200000000003,47.0,0.2,2.0,17.85,4.0,0.0,0.0,0.0,0.0,1185.7200000000003,1167.8700000000003,41.0
user_10127,8634.83,127.0,2.55,3.0,53.779999999999994,11.0,0.0,0.0,97.98,2.0,8632.28,8480.52,111.0
user_10128,8.51,1.0,0.85,2.0,33.7,2.0,0.0,0.0,0.0,0.0,7.66,-26.040000000000003,-3.0
user_10129,1438.4200000000008,177.0,143.67,21.0,31.069999999999997,3.0,0.0,0.0,91.91,6.0,1294.7500000000007,1171.7700000000007,147.0
user_1013,15376.269999999997,425.0,821.9200000000002,67.0,1008.9199999999998,33.0,0.0,0.0,0.0,0.0,14554.349999999997,13545.429999999997,325.0
user_10130,2308.4000000000005,89.0,170.19,8.0,32.42,3.0,0.0,0.0,170.0,4.0,2138.2100000000005,1935.7900000000004,74.0
user_10131,1346.9600000000003,36.0,3.0,3.0,329.25,5.0,0.0,0.0,90.0,3.0,1343.9600000000003,924.7100000000003,25.0
user_10132,3517.85,41.0,0.2,1.0,0.0,8.0,0.0,0.0,29.82,2.0,3517.65,3487.83,30.0
user_10133,10513.730000000003,202.0,46.81000000000001,12.0,367.4600000000001,9.0,0.0,0.0,0.0,0.0,10466.920000000004,10099.460000000003,181.0
user_10134,6596.359999999998,209.0,505.67,11.0,804.5400000000001,20.0,0.0,0.0,0.0,0.0,6090.689999999998,5286.149999999998,178.0
