,user_id,user_settings_crypto_unlocked,attributes_notifications_marketing_push,attributes_notifications_marketing_email,new_num_contacts,new_age,gb,pl,fr,ie,ro,es,lt,pt,mt,de,ch,cz,it,gr,cy,other_country,paid
0,user_0,0,1.0,1.0,3,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,user_1,1,1.0,1.0,47,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,user_2,0,1.0,1.0,47,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,user_3,0,1.0,1.0,47,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,user_4,0,1.0,1.0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,user_5,0,1.0,1.0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,user_6,1,1.0,1.0,47,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,user_7,0,1.0,1.0,10,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,user_8,0,1.0,1.0,42,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,user_9,1,1.0,1.0,3,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,user_10,1,1.0,1.0,19,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,user_11,0,1.0,1.0,0,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,user_12,0,1.0,1.0,6,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,user_13,0,1.0,1.0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,user_14,0,1.0,1.0,2,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,user_15,0,1.0,1.0,22,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,user_16,0,1.0,1.0,5,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,user_17,0,1.0,1.0,20,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,user_18,0,1.0,1.0,0,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,user_19,0,1.0,1.0,11,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,user_20,0,1.0,1.0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,user_21,0,1.0,1.0,47,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,user_22,0,1.0,1.0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,user_23,0,1.0,1.0,5,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,user_24,0,1.0,1.0,6,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,user_25,0,1.0,1.0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,user_26,0,1.0,1.0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,user_27,0,1.0,1.0,0,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,user_28,0,1.0,1.0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,user_29,0,1.0,1.0,3,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,user_30,0,1.0,1.0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,user_31,0,1.0,1.0,14,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,user_32,0,1.0,1.0,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,user_33,0,1.0,1.0,15,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,user_34,0,1.0,1.0,0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,user_35,1,1.0,1.0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
